Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xb2aa9f58ba130b46b1524e6599e37d8e27fbf35aa142c321ab90c4c7ecd7b99b","Success","Borrow","24875694","2026-04-14 04:39:23","0x5e2f031fd777754ee3613682e8fe15a413e8cc8e","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00001434"
"0x3be7762322e1fd35e83c339b7516425ed2ea3d9ea92cdbe5124a259316192a3c","Success","Borrow","24875694","2026-04-14 04:39:23","0xa67f5996ec134f34dd07387a39315466496cf69b","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00069883"
"0xd9ed006664fc0362548f936c210d1e534d4016707febba35b638f819e3854194","Success","Withdraw","24875687","2026-04-14 04:37:59","0xc1b3a919cd84eb29717a641a86926c3184b0a1af","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00003398"
"0xc1f0a8123cbb20f8dd34d5c0dfd6bda06112d517daa684602d27ae1154e410de","Success","Borrow","24875677","2026-04-14 04:35:59","0xe19d817fd1bcedac50101efccea9398bca697565","gouki.eth","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00001295"
"0x14ba39d4cbb0ff8a943a526ab4604b4b0eab4f9f90524f8a68af75531029bc59","Success","Supply","24875674","2026-04-14 04:35:23","0x5e2f031fd777754ee3613682e8fe15a413e8cc8e","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000607"
"0x24f715f92fd177a13eb20c9e5536332dd8d62b2658f9a8cbfd0cb1ae4bfd4143","Success","Repay","24875672","2026-04-14 04:34:59","0x904e32455dcccd8b06778b1b9134833ea70d99b0","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00001937"
"0x2e18cefb65a4242477adea5e3ddb18dfb3fab2cb2b8bb8ab0390ff15aef0a4cf","Success","Supply","24875671","2026-04-14 04:34:47","0x24319c914fb6dfc8a4b1d7277e38c32d05d0bb01","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00038903"
"0x675f61d3329d5e89ce891dcb2dfc1250e31a949f710058e595b7ee59f828df4e","Success","Repay","24875670","2026-04-14 04:34:35","0x4f0aa5900b8292273b2f9a178d5468f8048bb9a9","Ring Exchange: Deployer","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00012971"
"0xdcb4b21c8e742e2bd94279e3b6efd62f9fe86d9fbc3dd24f4f7a92dc8c873b2e","Success","Supply With Permit","24875666","2026-04-14 04:33:47","0x5e2f031fd777754ee3613682e8fe15a413e8cc8e","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000904"
"0x7d53d7cd0b71c3beb59946330a5a474736a1061dea0f1c42a95e8f03a8556470","Success","Supply","24875665","2026-04-14 04:33:35","0xcfb8ec3d381ad196f4539c2401e51c5985a8635d","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00034294"
"0xd4cc06c11c5f757fc11f38a70fa71e90ecd13c47cd2fd2e0b50679217c6ff147","Success","Supply With Permit","24875661","2026-04-14 04:32:47","0x1351ce6778ccd8e34fc77290bcbcdaa8059702d0","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000955"
"0x87fd3dbd8c92ffffa5dbf217c9d54f908a20d523e4b97f2c71cbaa1cde0380aa","Success","Withdraw","24875649","2026-04-14 04:30:23","0x55bc5457a18732fcea79b4e61447285d518edf66","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00002281"
"0x662bb49013340ae7e4ad791d195a5a4da15a44ee237eb67ec807c28f5a71cf79","Success","Borrow","24875649","2026-04-14 04:30:23","0xf94241baa46171b724ed535314963b45f84c9f16","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00088272"
"0xd3e17d2ec20ad570f1226bfe2a07ff1dcd8223068cb86bd08cfd67a340ff39b5","Success","Withdraw","24875648","2026-04-14 04:30:11","0x0fe15b65136ab92a3f9ce83cceb9e0663f1efaa6","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00001439"
"0x756a028cb4e4fe03ec7665c15c63a4130fb0a550e6a222789ad14ac50f4fe87e","Success","Supply","24875648","2026-04-14 04:30:11","0x41f827f7e3a99bc78895b3b6ff525368c75024f4","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00032727"
"0x960ea912fdefe9ed453b2b9b9941fc4bc93d4c600881fe365aed85617351c35a","Success","Supply","24875646","2026-04-14 04:29:35","0xcc50ebb617f6f5f27d62b8d6770f73fa807c3bed","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00041623"
"0x6a2c36f0b9ff9d09b2e816304d298ad05e8d55db093444e1d1cfd544e3174118","Success","Supply","24875642","2026-04-14 04:28:47","0x4074378aaf1b991522a934d3bc5695e74f144035","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00031617"
"0x768dcbd247be5f79e4dfe5a38dc9cb904d4ccd0f14a93e6f0e47dbfbdde0726a","Success","Borrow","24875639","2026-04-14 04:28:11","0x4074378aaf1b991522a934d3bc5695e74f144035","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00067396"
"0x2f8bc406a01f4190748f613a6761cb0e46759581d43a750e7d21ec107c5436b3","Success","Withdraw","24875637","2026-04-14 04:27:47","0xc0635290a8e5b900dd3f6b94cef571cdd8c1bad8","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00009034"
"0x50d93d9df5345a9b3f081979e3da440a06764cc0b22e9f60495940cc31a7f55f","Success","Supply","24875637","2026-04-14 04:27:47","0x27af37cd341de35f2a7b84af9069d92759adfd8d","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00002322"
"0x894a7426e40ec092b90621afca7325a10a3895cb2d1549c3449683444700c80a","Success","Supply","24875633","2026-04-14 04:26:59","0x4074378aaf1b991522a934d3bc5695e74f144035","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00031696"
"0x3859d51f424641db6dd54c6301b74a82d74fd6ddcdc8e729c82bd3c4535603a8","Success","Supply","24875633","2026-04-14 04:26:59","0x84e5268a2098c87146e18fc6d736867b56752c66","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00035414"
"0x18edbc355465b89bec5dd375da8c2dc29ad28a0db9c3b06c67a4bb3d1a99743d","Success","Borrow","24875626","2026-04-14 04:25:35","0x4074378aaf1b991522a934d3bc5695e74f144035","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00071747"
"0xdae58c803e2962fb06c0a96ccf463fe66bda34dbda93b56149b98773f27eaef4","Success","Borrow","24875621","2026-04-14 04:24:35","0x83e3e8c045db446203d967e092172da7185e4bd8","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00003175"
